Original Folder Name,New Folder Name
CC1CCC2C1C(OC(=O)C=Cc1ccccc1)C1(C(C)C)CC(OC(=O)CO)C2(C)O1,107
CC1CCCC=CC2CC(O)CC2C(O)C=CC(=O)O1,108
CC1CNc2c(cccc2S(=O)(=O)NC(CCCN=C(N)N)C(=O)N2CCC(C)CC2C(=O)O)C1,109
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,110
CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,111
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,112
CC1OC2(CS1)CN1CCC2CC1,113
CC=C1NC(=O)C2CSSCCC=CC(CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O,114
CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,115
CCC(=C(c1ccc(O)cc1)c1ccc(OCCNC)cc1)c1ccccc1,116
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,117
CCC(=O)N1CCN(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1,118
CCC(=O)NCCC1CCc2ccc3c(c21)CCO3,119
CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,120
CCC(C(N)=O)N1CCCC1=O,121
CCC(C)C(C)(COC(N)=O)COC(N)=O,122
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,123
CCC(CC)C(NC(C)=O)C1C(N=C(N)N)CC(C(=O)O)C1O,124
CCC(CC#N)OC(=O)NC(C)c1cccc(NC(=O)Nc2ccc(-c3cnco3)c(OC)c2)c1,125
CCC(CC)OC1C=C(C(=O)O)CC(N)C1NC(C)=O,126
CCC(CO)NCCNC(CC)CO,127
CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,128
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,129
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,130
CCC1(c2ccccc2)C(=O)NCNC1=O,131
CCC1(c2ccccc2)NC(=O)N(C)C1=O,132
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O,133
CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCC(N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C,134
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,135
