idx,SMILES,target_id1,target_id2,geos
65,Cc1nc2c(cnn2-c2csc(C(=O)NC3COC3)c2)cc1Nc1c(F)cccc1Cl,P53779_WT,P49841_WT,"['3.14', '3.14', '-3.14', '-1.42', '0.40', '0.48']"
66,CCNC(=O)N1CCC(Nc2nccc(-c3c(-c4ccccc4)[nH]c4ccccc34)n2)CC1,P53779_WT,P49841_WT,"['-1.95', '-0.38', '0.16', '-2.87', '1.03', '-0.25', '2.30']"
67,O=C(CN1C(=O)CCc2ccccc21)Nc1scc(Cl)c1-c1ncn[nH]1,P53779_WT,P49841_WT,"['3.14', '0.49', '-1.37', '-0.79', '-3.14']"
68,CC(=O)N1CCC[C@@H](C(=O)Nc2cc(-c3ccnc(Nc4ccc(F)cc4)c3)ccn2)C1,P53779_WT,P49841_WT,"['0.79', '0.82', '2.27', '0.91', '0.26', '-2.57', '-1.15']"
69,CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4OC)c(F)cc32)cs1,P53779_WT,P49841_WT,"['-0.05', '3.14', '2.96', '0.09', '0.57', '0.14']"
70,O=C(Cn1c(=O)ccc2cc(F)c(F)cc21)Nc1scc(Br)c1-c1ncn[nH]1,P53779_WT,P49841_WT,"['-2.44', '-0.25', '-2.01', '-0.26', '3.14']"
71,CNC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,P53779_WT,P49841_WT,"['-0.06', '3.14', '0.08', '0.44', '0.40']"
72,O=C(NC1COC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)ncc32)cs1,P53779_WT,P49841_WT,"['0.02', '0.04', '1.42', '2.96', '-0.34', '-0.40']"
73,CN1CC[C@@H](NC(=O)c2cc(-n3ncc4cc(Nc5ccccc5Cl)c(F)cc43)cs2)C1,P53779_WT,P49841_WT,"['-2.58', '0.33', '3.14', '-0.16', '-0.41', '-0.30']"
74,O=C(CN1C(=O)CCc2ccccc21)Nc1scc(Cl)c1-c1nnc[nH]1,P53779_WT,P49841_WT,"['-2.34', '-0.23', '-1.99', '-0.10', '-3.14']"
75,O=C(Cn1c(=O)ccc2cc(F)c(F)cc21)Nc1scc(Br)c1-c1nnc[nH]1,P53779_WT,P49841_WT,"['-2.80', '0.30', '-1.63', '-0.63', '2.98']"
76,O=C(O)c1cccc(-c2[nH]nc3cc(Nc4ccccc4Cl)ccc23)c1,P53779_WT,P49841_WT,"['3.06', '-2.22', '-0.44', '-0.33']"
77,O=C(O)c1cccc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,P53779_WT,P49841_WT,"['3.14', '-0.68', '-0.47', '-0.36']"
78,CN1CCC[C@H](Nc2nccc(-c3cccnc3Oc3ccc(Nc4nc5ccccc5[nH]4)c4ccccc34)n2)C1,P53779_WT,P49841_WT,"['-3.14', '1.80', '-2.11', '-0.04', '-1.61', '-0.84', '2.90']"
79,O=C(CN1C(=O)CCc2ncccc21)Nc1scc(Br)c1-c1ncco1,P53779_WT,P49841_WT,"['2.67', '-0.24', '-1.51', '0.27', '3.14']"
80,N#Cc1csc(NC(=O)CN2C(=O)CCc3ncccc32)c1-c1ncn[nH]1,P53779_WT,P49841_WT,"['-1.53', '2.22', '0.35', '1.63', '-1.36', '3.14']"
81,O=C(Cn1c(=O)ccc2cnc(C(F)(F)F)cc21)Nc1scc(Br)c1-c1ncn[nH]1,P53779_WT,P49841_WT,"['3.14', '-0.28', '-1.79', '3.12', '0.39', '-3.00']"
82,O=C(Cn1c(=O)ccc2cc(OC(F)(F)F)ccc21)Nc1scc(Br)c1-c1ncn[nH]1,P53779_WT,P49841_WT,"['-2.75', '0.47', '-1.61', '-3.14', '-1.14', '-0.75', '-3.14']"
83,O[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1,P53779_WT,P49841_WT,"['-1.58', '-3.07', '-0.07', '2.46', '-1.16']"
84,N#Cc1csc(NC(=O)CN2C(=O)CCc3ccccc32)c1-c1ncn[nH]1,P53779_WT,P49841_WT,"['0.80', '2.19', '0.57', '-0.79', '1.55', '3.14']"
85,O=C(NC1COC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)cnc32)cs1,P53779_WT,P49841_WT,"['1.08', '0.12', '-0.85', '0.13', '2.42', '-0.18']"
86,O=C(Nc1cc(-c2ccnc(Nc3ccc(F)cc3)c2)ccn1)C1CCOCC1,P53779_WT,P49841_WT,"['1.18', '2.47', '0.33', '-1.15', '-2.24', '-0.05']"
87,N#Cc1csc(NC(=O)CN2C(=O)CCc3ncccc32)c1-c1nnc[nH]1,P53779_WT,P49841_WT,"['-3.14', '0.00', '-0.09', '-0.39', '1.65', '0.04']"
88,O=C(Cn1c(=O)ccc2cnc(C(F)(F)F)cc21)Nc1scc(Br)c1-c1nnc[nH]1,P53779_WT,P49841_WT,"['-3.14', '-0.23', '1.51', '-3.14', '-0.04', '-3.12']"
89,O=C(Cn1c(=O)ccc2cc(OC(F)(F)F)ccc21)Nc1scc(Br)c1-c1nnc[nH]1,P53779_WT,P49841_WT,"['-3.14', '-0.03', '-1.64', '3.04', '-3.08', '0.03', '3.14']"
90,N#Cc1csc(NC(=O)CN2C(=O)CCc3ccccc32)c1-c1nnc[nH]1,P53779_WT,P49841_WT,"['2.77', '0.38', '-0.35', '0.22', '-1.82', '0.07']"
91,O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)[C@@H]1CCOC1,P53779_WT,P49841_WT,"['-0.19', '-0.12', '0.38', '0.47', '-2.35', '0.08']"
92,Fc1ccc(-c2n[nH]cc2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)c2)cc1,P53779_WT,P49841_WT,"['2.44', '2.52', '2.51', '-0.16', '2.38']"
93,N#Cc1csc(NC(=O)Cc2cccc3cnccc23)c1-c1ncn[nH]1,P53779_WT,P49841_WT,"['-2.36', '-0.52', '0.31', '-0.57', '1.86', '-0.15']"
94,COc1ccc(Oc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)cc1,P53779_WT,P49841_WT,"['-0.05', '-1.24', '-0.26', '-2.76', '0.27', '-0.46']"
95,c1cc(-c2nccs2)c2nc(Nc3ccc(-n4cnc(N5CCOCC5)n4)cc3)ncc2c1,P53779_WT,P49841_WT,"['-0.73', '-3.13', '-0.02', '-0.05', '0.30']"
96,Cc1cc(Nc2nc3ccccc3o2)c2ccccc2c1Oc1ncccc1-c1ccnc(N[C@H]2CC[C@H](N)CC2)n1,P53779_WT,P49841_WT,"['0.42', '-2.76', '-1.65', '-0.05', '-2.64', '2.50', '-2.59']"
97,CS(=O)(=O)Nc1ccc(-c2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)cc1,P53779_WT,P49841_WT,"['-1.14', '-0.94', '0.30', '-2.67', '2.97', '0.37']"
98,Cc1nc(C)n(-c2ccc(Nc3cc(-c4nn(C)cc4-c4ccc(F)cc4)ccn3)cc2)n1,P53779_WT,P49841_WT,"['2.89', '0.02', '0.78', '-1.06', '-1.01']"
99,O=C(Cn1c(=O)ccc2cnccc21)Nc1scc(Br)c1-c1ncn[nH]1,P53779_WT,P49841_WT,"['-3.14', '-0.05', '1.54', '-0.27', '3.13']"
100,CNC(=O)[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@@H]4CCOC4)c3n2)CC1,P53779_WT,P49841_WT,"['0.47', '-2.43', '-2.70', '-0.71', '0.13', '-2.47', '1.12']"
101,COc1cc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4cccc(C)c4)cn3)c2)cc(OC)c1OC,P53779_WT,P49841_WT,"['1.94', '3.12', '0.01', '-2.38', '-0.07', '3.14', '-0.25', '2.95', '-2.92', '0.05', '1.53']"
102,Fc1ccc(-c2nc3n(c2-c2ccnc(NC4CCC4)n2)[C@@H](Cn2ccnc2)CC3)cc1,P53779_WT,P49841_WT,"['-0.79', '2.40', '-1.23', '0.93', '3.05', '-1.41']"
103,N#Cc1csc(NC(=O)Cc2cccc3cnccc23)c1-c1nnc[nH]1,P53779_WT,P49841_WT,"['-2.19', '-0.54', '0.26', '-0.64', '1.75', '-0.08']"
104,O=C(Cn1c(=O)ccc2cnccc21)Nc1scc(Br)c1-c1nnc[nH]1,P53779_WT,P49841_WT,"['2.56', '-0.42', '1.57', '0.59', '-2.94']"
105,N#Cc1csc(NC(=O)Cn2c(=O)ccc3cc(C(F)(F)F)ccc32)c1-c1ncco1,P53779_WT,P49841_WT,"['0.81', '-0.23', '-0.22', '0.69', '-2.01', '-0.62', '0.01']"
106,O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOCC1,P53779_WT,P49841_WT,"['0.41', '-2.25', '0.23', '-1.00', '-2.35', '0.05']"
107,O=C(Cn1c(=O)ccn2nccc12)Nc1scc(Br)c1-c1ncn[nH]1,P53779_WT,P49841_WT,"['-3.14', '-0.38', '1.38', '0.54', '-3.01']"
108,N#Cc1csc(NC(=O)Cn2c(=O)ccc3cc(C(F)(F)F)ccc32)c1-c1cscn1,P53779_WT,P49841_WT,"['2.32', '0.58', '-0.15', '0.48', '-1.76', '-2.70', '2.92']"
109,O=C(Nc1cnn(-c2csc(C(=O)N[C@H]3CCOC3)c2)c1)Nc1ccccc1Cl,P53779_WT,P49841_WT,"['-0.01', '-0.01', '-0.07', '0.20', '2.99', '3.14', '1.54', '-0.01']"
110,C=CC(=O)Nc1ccc(C(=O)Nc2ccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)c(C)c2)cc1,P53779_WT,P49841_WT,"['0.07', '-3.14', '-3.08', '2.79', '-2.66', '2.45', '1.53', '-0.85', '-1.53', '0.64', '-0.14']"
111,O=C(Cn1c(=O)ccn2nccc12)Nc1scc(Br)c1-c1nnc[nH]1,P53779_WT,P49841_WT,"['-2.65', '0.21', '-1.65', '-0.33', '-3.14']"
112,CC(=O)N1CCC[C@H](C(=O)Nc2cc(-c3ccnc(Nc4ccccc4)c3)ccn2)C1,P53779_WT,P49841_WT,"['0.16', '-0.01', '-2.90', '-0.33', '-0.57', '2.62', '-0.31']"
113,COc1cc(NC(=O)c2cccc(-n3ncc4cc(Nc5ccccc5F)ccc43)c2)cc(OC)c1OC,P53779_WT,P49841_WT,"['0.42', '-0.26', '0.04', '2.41', '2.88', '-0.73', '-0.12', '0.50', '-1.23']"
114,N#Cc1csc(NC(=O)Cn2c(=O)ccc3cc(C(F)(F)F)ccc32)c1-c1nccs1,P53779_WT,P49841_WT,"['-2.00', '0.35', '-0.36', '-0.97', '1.82', '0.67', '0.08']"
115,O=C(Cn1c(=O)ccc2cc(C(F)(F)F)ccc21)Nc1scc(Br)c1-c1ncn[nH]1,P53779_WT,P49841_WT,"['2.51', '-0.25', '1.74', '0.65', '0.48', '3.14']"
116,Cn1cc(-c2ccc3cnc(Nc4ccc(-n5cnc(N6CCOCC6)n5)cc4)nc3c2-c2cnn(C)c2)cn1,P53779_WT,P49841_WT,"['-1.76', '2.60', '-2.37', '2.78', '0.35', '1.02']"
117,O=C(Cn1c(=O)ccc2ccc(C(F)(F)F)cc21)Nc1scc(Br)c1-c1ncn[nH]1,P53779_WT,P49841_WT,"['-3.11', '0.25', '1.77', '2.53', '-0.28', '-3.14']"
118,O=C(Cn1c(=O)ccc2cc(C(F)(F)F)ccc21)Nc1scc(Br)c1-c1nnc[nH]1,P53779_WT,P49841_WT,"['2.61', '0.17', '1.85', '1.62', '0.24', '3.13']"
119,O=C(Cn1c(=O)ccc2ccc(C(F)(F)F)cc21)Nc1scc(Br)c1-c1nnc[nH]1,P53779_WT,P49841_WT,"['3.14', '0.04', '-1.62', '-1.23', '0.14', '3.13']"
120,Cc1c(-c2cnn(C)c2)ccc2cnc(Nc3ccc(-n4cnc(N5CCOCC5)n4)cc3)nc12,P53779_WT,P49841_WT,"['-1.35', '-2.52', '-0.40', '0.20', '-0.40']"
121,Cn1cc(-c2ccc3cnc(Nc4ccc(-n5cnc(N6CCOCC6)n5)cc4)nc3c2-c2ccccc2)cn1,P53779_WT,P49841_WT,"['-1.14', '0.12', '2.88', '-3.14', '2.91', '1.93']"
122,C=CC(=O)Nc1ccc(C(=O)Nc2ccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)cc2)cc1,P53779_WT,P49841_WT,"['-0.01', '3.14', '0.04', '-3.03', '-2.74', '2.10', '2.95', '-0.58', '2.44', '2.45', '0.05']"
